Generation	env
0.050000	82.829914
0.100000	82.705965
0.150000	81.693263
0.200000	78.740424
0.250000	79.189909
0.300000	80.736821
0.350000	81.361679
0.400000	77.578876
0.450000	79.545383
0.500000	75.764974
0.550000	79.150058
0.600000	79.674930
0.650000	81.023433
0.700000	79.907805
0.750000	82.087592
0.800000	76.990001
0.850000	78.496442
0.900000	80.639851
0.950000	77.314394
1.000000	82.047293
1.050000	48.331321
1.100000	43.811547
1.150000	48.739666
1.200000	44.983806
1.250000	46.651169
1.300000	46.331606
1.350000	48.188055
1.400000	47.371947
1.450000	49.530794
1.500000	50.110108
1.550000	46.198947
1.600000	45.965251
1.650000	46.641951
1.700000	49.670260
1.750000	47.327318
1.800000	42.311370
1.850000	49.936320
1.900000	43.310020
1.950000	49.865932
2.000000	48.204689
2.050000	55.608697
2.100000	51.067002
2.150000	47.863974
2.200000	54.072804
2.250000	50.778464
2.300000	52.630874
2.350000	53.719781
2.400000	51.045801
2.450000	53.009042
2.500000	51.783707
2.550000	55.278687
2.600000	52.121453
2.650000	54.526200
2.700000	52.814786
2.750000	56.432425
2.800000	52.240486
2.850000	54.713525
2.900000	54.209162
2.950000	57.082034
3.000000	53.016837
3.050000	43.454456
3.100000	44.102878
3.150000	44.077182
3.200000	43.650277
3.250000	41.817025
3.300000	39.666071
3.350000	38.750306
3.400000	42.628910
3.450000	40.994600
3.500000	44.633379
3.550000	42.062217
3.600000	42.857751
3.650000	44.154919
3.700000	44.966044
3.750000	40.733442
3.800000	43.056025
3.850000	39.582637
3.900000	43.224412
3.950000	46.955579
4.000000	36.717389
4.050000	41.605613
4.100000	41.172712
4.150000	42.942634
4.200000	44.747432
4.250000	41.524714
4.300000	40.216600
4.350000	42.240366
4.400000	47.770770
4.450000	43.866977
4.500000	45.175693
4.550000	45.659205
4.600000	39.893949
4.650000	44.988588
4.700000	39.287590
4.750000	42.011320
4.800000	37.029680
4.850000	41.003533
4.900000	39.598718
4.950000	40.784605
5.000000	41.811360
5.050000	74.917559
5.100000	73.148618
5.150000	76.921382
5.200000	79.235176
5.250000	78.422171
5.300000	78.004605
5.350000	77.093731
5.400000	75.129317
5.450000	76.908662
5.500000	77.615900
5.550000	75.371868
5.600000	76.292058
5.650000	75.705508
5.700000	76.053081
5.750000	73.119110
5.800000	77.981551
5.850000	74.544760
5.900000	73.339787
5.950000	75.834889
6.000000	74.350525
6.050000	32.355487
6.100000	33.574746
6.150000	33.749338
6.200000	32.682852
6.250000	36.135199
6.300000	36.697059
6.350000	33.090247
6.400000	36.267278
6.450000	32.370429
6.500000	35.592986
6.550000	35.790858
6.600000	30.645726
6.650000	36.262191
6.700000	32.853834
6.750000	32.828056
6.800000	34.223172
6.850000	33.414287
6.900000	33.050556
6.950000	36.750131
7.000000	33.346944
7.050000	42.074927
7.100000	38.174133
7.150000	38.373590
7.200000	37.072653
7.250000	39.824141
7.300000	40.267476
7.350000	40.096182
7.400000	38.146221
7.450000	38.471994
7.500000	39.568958
7.550000	32.920705
7.600000	36.828478
7.650000	39.435021
7.700000	35.875890
7.750000	42.287196
7.800000	34.807940
7.850000	34.721314
7.900000	37.608107
7.950000	38.562666
8.000000	35.452197
8.050000	40.785897
8.100000	39.792688
8.150000	39.673269
8.200000	40.436383
8.250000	38.081361
8.300000	41.272325
8.350000	39.375069
8.400000	38.199620
8.450000	40.149481
8.500000	40.499090
8.550000	40.220259
8.600000	37.639502
8.650000	39.977220
8.700000	39.347485
8.750000	40.034775
8.800000	36.051033
8.850000	40.028275
8.900000	40.485143
8.950000	34.317673
9.000000	38.161349
9.050000	34.037378
9.100000	35.673835
9.150000	40.879985
9.200000	34.202185
9.250000	34.395664
9.300000	38.371074
9.350000	37.615223
9.400000	38.044534
9.450000	36.309250
9.500000	37.567098
9.550000	35.196797
9.600000	35.582157
9.650000	32.894852
9.700000	37.890850
9.750000	38.420197
9.800000	40.086887
9.850000	35.466417
9.900000	38.458187
9.950000	38.552498
10.000000	37.583622
10.050000	59.935117
10.100000	62.497282
10.150000	58.149642
10.200000	58.234766
10.250000	58.424853
10.300000	60.438044
10.350000	56.795724
10.400000	60.717124
10.450000	57.945938
10.500000	55.924236
10.550000	63.099963
10.600000	61.430614
10.650000	61.796074
10.700000	56.397077
10.750000	57.723863
10.800000	59.526023
10.850000	56.655041
10.900000	61.214009
10.950000	60.071970
11.000000	57.844184
11.050000	82.521812
11.100000	82.144113
11.150000	78.634524
11.200000	77.215104
11.250000	82.978700
11.300000	82.280341
11.350000	82.394238
11.400000	83.921291
11.450000	79.826507
11.500000	83.700118
11.550000	79.505819
11.600000	82.729369
11.650000	85.244344
11.700000	83.308467
11.750000	81.964207
11.800000	81.001277
11.850000	79.565667
11.900000	80.802259
11.950000	82.263337
12.000000	79.580871
12.050000	61.166775
12.100000	59.124156
12.150000	60.322674
12.200000	60.132123
12.250000	61.185892
12.300000	60.242580
12.350000	60.064306
12.400000	64.882690
12.450000	60.760776
12.500000	60.085118
12.550000	59.064917
