N1	N2	Generation	abf_1	abf_2
250.000000	250.000000	0.000000
74.998029	128.727343	1.000000	0.299992	0.514909
297.451808	243.035876	2.000000	3.966128	1.887990
977.250347	359.178100	3.000000	3.285407	1.477881
178.785280	219.865504	4.000000	0.182947	0.612135
322.567269	334.510841	5.000000	1.804216	1.521434
28.145344	141.970526	6.000000	0.087254	0.424412
24.392312	212.202905	7.000000	0.866655	1.494697
27.376989	322.968704	8.000000	1.122361	1.521981
31.274656	434.872766	9.000000	1.142370	1.346486
24.281890	446.059944	10.000000	0.776408	1.025725
35.465384	514.431522	11.000000	1.460569	1.153279
18.353906	55.675684	12.000000	0.517516	0.108228
25.082178	104.835391	13.000000	1.366585	1.882965
21.720150	106.231792	14.000000	0.865959	1.013320
78.957299	207.984044	15.000000	3.635210	1.957832
68.262056	299.486095	16.000000	0.864544	1.439947
156.953939	442.778218	17.000000	2.299285	1.478460
52.086987	84.129708	18.000000	0.331862	0.190004
89.346986	156.752722	19.000000	1.715342	1.863227
90.651723	246.898650	20.000000	1.014603	1.575084
115.305921	359.452917	21.000000	1.271966	1.455872
454.997648	504.837507	22.000000	3.946004	1.404461
0.000000	0.000000	23.000000	-0.313873	-0.311342
0.000000	0.000000	24.000000	1.788315	2.037320
0.000000	0.000000	25.000000	3.853467	2.190421
0.000000	0.000000	26.000000	4.666936	2.222056
0.000000	0.000000	27.000000	1.000324	1.490815
0.000000	0.000000	28.000000	2.134062	2.101692
0.000000	0.000000	29.000000	3.497357	2.178574
0.000000	0.000000	30.000000	1.141777	1.902642
0.000000	0.000000	31.000000	1.709689	2.041403
0.000000	0.000000	32.000000	4.659240	2.221592
0.000000	0.000000	33.000000	1.235251	1.943589
0.000000	0.000000	34.000000	1.392274	1.988704
0.000000	0.000000	35.000000	1.065799	1.835815
0.000000	0.000000	36.000000	1.016333	1.743323
0.000000	0.000000	37.000000	1.233159	1.944267
0.000000	0.000000	38.000000	1.074167	1.847608
0.000000	0.000000	39.000000	4.386950	2.213173
0.000000	0.000000	40.000000	1.000005	1.343163
0.000000	0.000000	41.000000	4.733395	2.223827
0.000000	0.000000	42.000000	1.000023	1.434921
0.000000	0.000000	43.000000	1.000030	1.370942
0.000000	0.000000	44.000000	2.245271	2.112694
