Environment	abf_r	abf_b
0.100000	-0.283989	-0.283989
0.200000	-0.283989	-0.283989
0.300000	-0.283989	-0.283989
0.400000	-0.283989	-0.283989
0.500000	-0.283989	-0.283989
0.600000	-0.283989	-0.283989
0.700000	-0.283989	-0.283989
0.800000	-0.283989	-0.283988
0.900000	-0.283989	-0.283988
1.000000	-0.283989	-0.283987
1.100000	-0.283989	-0.283985
1.200000	-0.283989	-0.283984
1.300000	-0.283989	-0.283982
1.400000	-0.283989	-0.283979
1.500000	-0.283989	-0.283976
1.600000	-0.283989	-0.283972
1.700000	-0.283989	-0.283967
1.800000	-0.283989	-0.283961
1.900000	-0.283989	-0.283955
2.000000	-0.283989	-0.283947
2.100000	-0.283989	-0.283938
2.200000	-0.283989	-0.283927
2.300000	-0.283989	-0.283916
2.400000	-0.283989	-0.283902
2.500000	-0.283989	-0.283887
2.600000	-0.283989	-0.283870
2.700000	-0.283989	-0.283852
2.800000	-0.283989	-0.283831
2.900000	-0.283989	-0.283808
3.000000	-0.283989	-0.283782
3.100000	-0.283989	-0.283754
3.200000	-0.283989	-0.283723
3.300000	-0.283989	-0.283690
3.400000	-0.283989	-0.283653
3.500000	-0.283989	-0.283613
3.600000	-0.283989	-0.283570
3.700000	-0.283989	-0.283523
3.800000	-0.283989	-0.283473
3.900000	-0.283989	-0.283419
4.000000	-0.283989	-0.283361
4.100000	-0.283989	-0.283298
4.200000	-0.283989	-0.283232
4.300000	-0.283989	-0.283160
4.400000	-0.283989	-0.283084
4.500000	-0.283989	-0.283003
4.600000	-0.283989	-0.282917
4.700000	-0.283989	-0.282826
4.800000	-0.283989	-0.282729
4.900000	-0.283989	-0.282626
5.000000	-0.283989	-0.282517
5.100000	-0.283989	-0.282403
5.200000	-0.283989	-0.282282
5.300000	-0.283989	-0.282154
5.400000	-0.283989	-0.282020
5.500000	-0.283989	-0.281879
5.600000	-0.283989	-0.281731
5.700000	-0.283989	-0.281576
5.800000	-0.283989	-0.281413
5.900000	-0.283989	-0.281242
6.000000	-0.283989	-0.281063
6.100000	-0.283989	-0.280877
6.200000	-0.283989	-0.280682
6.300000	-0.283989	-0.280478
6.400000	-0.283989	-0.280266
6.500000	-0.283989	-0.280044
6.600000	-0.283989	-0.279814
6.700000	-0.283989	-0.279574
