Nr	Nb	time	environment	abf_r	abf_b
250.000000	250.000000	0.000000	0.000000	0.000000	0.000000
211.959674	244.283247	0.250000	69.371794	-0.623325	-0.073484
182.885690	240.832985	0.500000	69.371794	-0.562093	-0.043131
159.934455	238.972938	0.750000	69.371794	-0.514476	-0.020915
141.350712	238.258399	1.000000	69.371794	-0.476572	-0.004520
180.699833	263.776697	1.250000	57.070829	0.934111	0.367422
225.118682	286.127446	1.500000	57.070829	0.827508	0.287107
272.926976	304.396687	1.750000	57.070829	0.717300	0.212185
321.912363	318.141402	2.000000	57.070829	0.608261	0.145324
297.463641	323.624492	2.250000	59.938165	-0.295426	0.072042
277.594209	329.697201	2.500000	59.938165	-0.260382	0.075872
261.082351	336.053154	2.750000	59.938165	-0.232325	0.076422
247.107651	342.475233	3.000000	59.938165	-0.209424	0.074793
262.650177	351.822205	3.250000	58.289545	0.225852	0.093215
276.661988	358.887067	3.500000	58.289545	0.192081	0.067767
289.146545	364.019009	3.750000	58.289545	0.162918	0.047421
300.166135	367.564933	4.000000	58.289545	0.137962	0.031433
309.426338	369.821899	4.250000	58.305522	0.112030	0.018999
317.484266	371.123289	4.500000	58.305522	0.094814	0.009898
324.471109	371.698947	4.750000	58.305522	0.080330	0.003116
330.515511	371.737036	5.000000	58.305522	0.068168	-0.001828
267.518381	354.625644	5.250000	64.914710	-0.782835	-0.150542
222.942503	344.219908	5.500000	64.914710	-0.684707	-0.093632
189.711905	338.071893	5.750000	64.914710	-0.612908	-0.054468
163.964742	334.757330	6.000000	64.914710	-0.558478	-0.027049
340.205869	354.599711	6.250000	52.213875	2.728234	0.139553
627.276033	356.573776	6.500000	52.213875	2.156393	-0.093196
983.040647	337.218069	6.750000	52.213875	1.460852	-0.339577
1302.825119	301.782943	7.000000	52.213875	0.846147	-0.526298
1229.154956	266.805900	7.250000	54.920005	-0.158313	-0.436408
1196.352395	241.816086	7.500000	54.920005	-0.071514	-0.359458
1182.558976	222.562384	7.750000	54.920005	-0.027931	-0.309528
1178.037963	206.977210	8.000000	54.920005	-0.006116	-0.274517
