Nr	Nb	time	environment	abf_r	abf_b
250.000000	250.000000	0.000000	0.000000	0.000000	0.000000
212.059362	236.339744	0.250000	27.306004	-0.618629	-0.198378
183.303151	226.234478	0.500000	27.306004	-0.552687	-0.154925
160.758751	218.625436	0.750000	27.306004	-0.501269	-0.121503
142.609878	212.835667	1.000000	27.306004	-0.460165	-0.095282
127.634942	214.301545	1.250000	30.094289	-0.430360	0.031570
114.982524	216.189778	1.500000	30.094289	-0.406478	0.037962
104.149771	218.382070	1.750000	30.094289	-0.386497	0.042280
94.770545	220.787115	2.000000	30.094289	-0.369608	0.045001
86.628340	214.789509	2.250000	26.137113	-0.349455	-0.101522
79.573052	209.843125	2.500000	26.137113	-0.331333	-0.085932
73.400093	205.744616	2.750000	26.137113	-0.315664	-0.072753
67.953410	202.338353	3.000000	26.137113	-0.302009	-0.061547
63.102584	201.014851	3.250000	26.926486	-0.291176	-0.023198
58.746550	200.000099	3.500000	26.926486	-0.281630	-0.017665
54.814184	199.243107	3.750000	26.926486	-0.273140	-0.012990
51.247524	198.701874	4.000000	26.926486	-0.265557	-0.009041
47.979043	205.836342	4.250000	30.628570	-0.263227	0.135546
44.927422	212.620374	4.500000	30.628570	-0.262549	0.124408
42.076417	219.033612	4.750000	30.628570	-0.261976	0.113850
39.411609	225.063440	5.000000	30.628570	-0.261469	0.103910
36.938466	222.409323	5.250000	26.952044	-0.255894	-0.044032
34.678429	220.159581	5.500000	26.952044	-0.249560	-0.037706
32.605442	218.253116	5.750000	26.952044	-0.243877	-0.032219
30.697653	216.639389	6.000000	26.952044	-0.238760	-0.027452
28.930118	217.689412	6.250000	28.092263	-0.235935	0.019009
27.281995	218.706161	6.500000	28.092263	-0.233448	0.018294
25.743115	219.687863	6.750000	28.092263	-0.231152	0.017562
24.304433	220.633323	7.000000	28.092263	-0.229028	0.016822
22.966359	217.650898	7.250000	26.262161	-0.224124	-0.051131
21.728003	215.062815	7.500000	26.262161	-0.219567	-0.044948
20.578622	212.813003	7.750000	26.262161	-0.215460	-0.039515
19.509043	210.854762	8.000000	26.262161	-0.211747	-0.034731
18.501326	219.169601	8.250000	30.969160	-0.214342	0.147186
17.526138	226.942693	8.500000	30.969160	-0.218617	0.132398
16.585426	234.157380	8.750000	30.969160	-0.222515	0.118699
15.680692	240.809762	9.000000	30.969160	-0.226035	0.106097
14.812535	244.445051	9.250000	29.977789	-0.228374	0.056825
13.988660	247.747372	9.500000	29.977789	-0.229372	0.050867
13.207599	250.739940	9.750000	29.977789	-0.230207	0.045495
12.467787	253.446153	10.000000	29.977789	-0.230895	0.040665
11.768086	254.897033	10.250000	29.590911	-0.230911	0.021727
11.108354	256.213855	10.500000	29.590911	-0.230646	0.019617
10.486335	257.408913	10.750000	29.590911	-0.230358	0.017720
9.899881	258.493545	11.000000	29.590911	-0.230053	0.016017
9.349383	255.947741	11.250000	28.211038	-0.227372	-0.036993
8.836023	253.753862	11.500000	28.211038	-0.224583	-0.032181
8.356331	251.860491	11.750000	28.211038	-0.222103	-0.027999
7.907299	250.224717	12.000000	28.211038	-0.219892	-0.024358
7.484923	251.148239	12.250000	29.154013	-0.219529	0.014024
7.085318	251.985059	12.500000	29.154013	-0.219400	0.012667
6.707281	252.743584	12.750000	29.154013	-0.219251	0.011449
6.349665	253.431458	13.000000	29.154013	-0.219087	0.010357
6.010859	255.556691	13.250000	29.742619	-0.219817	0.031527
5.688782	257.457735	13.500000	29.742619	-0.220696	0.027974
5.382873	259.156122	13.750000	29.742619	-0.221446	0.024815
5.092537	260.671929	14.000000	29.742619	-0.222080	0.022009
4.817077	265.166876	14.250000	30.928526	-0.223869	0.064250
4.553258	269.181070	14.500000	30.928526	-0.226560	0.056415
4.301181	272.752809	14.750000	30.928526	-0.228919	0.049456
4.060825	275.920699	15.000000	30.928526	-0.230979	0.043297
3.832919	272.620124	15.250000	28.710177	-0.229584	-0.044956
3.620418	269.783604	15.500000	28.710177	-0.226883	-0.039096
3.421852	267.339540	15.750000	28.710177	-0.224524	-0.034034
3.235958	265.229038	16.000000	28.710177	-0.222459	-0.029652
3.061284	265.001832	16.250000	29.319408	-0.221711	-0.003149
2.896406	264.811396	16.500000	29.319408	-0.221228	-0.002635
2.740723	264.652628	16.750000	29.319408	-0.220789	-0.002192
2.593679	264.521111	17.000000	29.319408	-0.220389	-0.001810
2.454680	264.943334	17.250000	29.520150	-0.220351	0.006034
2.323101	265.320445	17.500000	29.520150	-0.220390	0.005384
2.198560	265.657513	17.750000	29.520150	-0.220411	0.004808
2.080689	265.959039	18.000000	29.520150	-0.220416	0.004298
1.970156	260.059818	18.250000	27.130803	-0.216028	-0.084152
1.867637	254.993293	18.500000	27.130803	-0.211758	-0.073907
1.772208	250.619891	18.750000	27.130803	-0.208058	-0.065058
1.683104	246.828340	19.000000	27.130803	-0.204837	-0.057382
1.598996	248.511644	19.250000	29.191462	-0.205611	0.025631
1.518670	250.011691	19.500000	29.191462	-0.206653	0.022688
1.442027	251.346715	19.750000	29.191462	-0.207570	0.020073
1.368959	252.533556	20.000000	29.191462	-0.208375	0.017752
3.436710	291.656777	20.250000	48.609289	3.664566	0.537640
8.546380	330.124013	20.500000	48.609289	3.623730	0.456630
21.007784	366.137658	20.750000	48.609289	3.570379	0.374673
50.781234	397.656435	21.000000	48.609289	3.486538	0.287994
121.901787	422.011226	21.250000	49.122269	3.417246	0.185072
276.153681	434.161729	21.500000	49.122269	3.103140	0.038499
560.985009	427.041181	21.750000	49.122269	2.544462	-0.173776
960.979890	395.527809	22.000000	49.122269	1.772029	-0.430615
1356.165016	344.695380	22.250000	49.208807	1.030427	-0.646571
1632.175345	288.419717	22.500000	49.208807	0.517978	-0.756966
1786.192403	237.664503	22.750000	49.208807	0.246669	-0.779942
1865.008072	195.967011	23.000000	49.208807	0.120401	-0.760090
1716.357976	165.614065	23.250000	46.925368	-0.201677	-0.598084
1662.884317	144.391333	23.500000	46.925368	-0.075463	-0.511734
1644.272815	127.916686	23.750000	46.925368	-0.024151	-0.463409
1639.449224	114.412748	24.000000	46.925368	-0.003322	-0.432308
1766.361815	101.851987	24.250000	48.203929	0.195220	-0.496171
1825.015187	89.633664	24.500000	48.203929	0.085839	-0.519362
1851.966740	78.697788	24.750000	48.203929	0.039887	-0.519323
1865.222746	69.184759	25.000000	48.203929	0.020657	-0.510986
1759.213906	61.620422	25.250000	47.069766	-0.145003	-0.421741
1718.704385	55.815743	25.500000	47.069766	-0.057776	-0.377056
1703.061033	50.958019	25.750000	47.069766	-0.021978	-0.354551
1697.459014	46.720840	26.000000	47.069766	-0.007124	-0.341474
1808.934879	42.509190	26.250000	48.222883	0.162238	-0.411294
1857.423710	38.175976	26.500000	48.222883	0.067055	-0.442082
1878.003822	34.133712	26.750000	48.222883	0.028430	-0.450729
1887.053463	30.492919	27.000000	48.222883	0.012963	-0.450785
1907.613675	27.210538	27.250000	48.432136	0.027513	-0.459284
1916.367046	24.252563	27.500000	48.432136	0.012088	-0.460474
1920.420405	21.620188	27.750000	48.432136	0.005976	-0.458486
1922.581739	19.285997	28.000000	48.432136	0.003478	-0.455554
1771.140131	17.468749	28.250000	46.895684	-0.204661	-0.345083
1712.961785	16.144036	28.500000	46.895684	-0.085091	-0.295019
1689.172387	15.043676	28.750000	46.895684	-0.035783	-0.273441
1679.294439	14.070019	29.000000	46.895684	-0.014895	-0.263447
1828.003142	13.000082	29.250000	48.487410	0.214438	-0.365446
1892.017710	11.777419	29.500000	48.487410	0.085099	-0.415129
1917.855325	10.586510	29.750000	48.487410	0.033418	-0.433798
1928.147353	9.489386	30.000000	48.487410	0.013333	-0.439985
1668.556256	8.712770	30.250000	46.047125	-0.368789	-0.257131
1568.301358	8.270574	30.500000	46.047125	-0.164373	-0.174615
1524.827007	7.959084	30.750000	46.047125	-0.075761	-0.138645
1505.054258	7.706505	31.000000	46.047125	-0.035395	-0.122072
1766.826740	7.308387	31.250000	48.832246	0.415746	-0.302073
1889.628957	6.678818	31.500000	48.832246	0.166485	-0.400723
1940.117152	6.006283	31.750000	48.832246	0.064164	-0.440521
1959.819994	5.367931	32.000000	48.832246	0.024513	-0.455308
