N1	N2	time	environment	abf_1	abf_2
250.000000	250.000000	0.000000	0.000000	0.000000	0.000000
251.407118	251.407118	0.250000	47.204300	0.022403	0.022403
252.815926	252.815926	0.500000	47.204300	0.022305	0.022305
254.226357	254.226357	0.750000	47.204300	0.022206	0.022206
255.638344	255.638344	1.000000	47.204300	0.022107	0.022107
487.963645	278.109839	1.250000	47.543910	2.339462	0.221967
807.409497	283.999984	1.500000	47.543910	1.697835	-0.045206
1132.935980	271.889414	1.750000	47.543910	1.054469	-0.282743
1379.771112	247.903985	2.000000	47.543910	0.575898	-0.434133
1529.949007	220.180521	2.250000	47.538655	0.292438	-0.500280
1611.880116	193.807612	2.500000	47.538655	0.147640	-0.513804
1655.585926	170.638803	2.750000	47.538655	0.077734	-0.502726
1679.926642	150.864000	3.000000	47.538655	0.044387	-0.482734
1566.633956	135.568344	3.250000	46.394201	-0.180467	-0.376493
1520.373811	124.455825	3.500000	46.394201	-0.077372	-0.316488
1501.317126	115.530587	3.750000	46.394201	-0.031392	-0.283046
1494.119376	107.952270	4.000000	46.394201	-0.010606	-0.261963
1337.525242	102.534142	4.250000	45.102790	-0.309834	-0.148871
1264.925096	99.715449	4.500000	45.102790	-0.160247	-0.084243
1228.454371	98.098098	4.750000	45.102790	-0.085021	-0.051408
1209.414915	97.087047	5.000000	45.102790	-0.045637	-0.033941
1291.708888	95.782528	5.250000	45.926393	0.191666	-0.081531
1337.594190	93.408681	5.500000	45.926393	0.100662	-0.113969
1362.301338	90.590829	5.750000	45.926393	0.052876	-0.128357
1375.567389	87.662272	6.000000	45.926393	0.028359	-0.133244
1554.338335	83.636129	6.250000	47.484058	0.334781	-0.246060
1646.033307	77.915536	6.500000	47.484058	0.153296	-0.309072
1689.537111	71.864755	6.750000	47.484058	0.069798	-0.332305
1709.984432	66.077067	7.000000	47.484058	0.032929	-0.337315
1598.594442	61.393448	7.250000	46.414697	-0.175747	-0.253059
1551.966192	58.005959	7.500000	46.414697	-0.078183	-0.208313
1531.649454	55.237219	7.750000	46.414697	-0.034649	-0.186233
1522.847398	52.814095	8.000000	46.414697	-0.014800	-0.174213
1611.371819	50.227013	8.250000	47.230308	0.151469	-0.228543
1653.382016	47.238609	8.500000	47.230308	0.068540	-0.256700
1672.825485	44.235094	8.750000	47.230308	0.031456	-0.266485
1681.995513	41.370616	9.000000	47.230308	0.015141	-0.268193
1319.639850	39.858623	9.250000	44.188641	-0.675169	-0.029954
1166.260662	40.281827	9.500000	44.188641	-0.364089	0.093808
1088.810769	41.596385	9.750000	44.188641	-0.208262	0.153953
1046.107770	43.420910	10.000000	44.188641	-0.123336	0.184871
1131.229199	45.291279	10.250000	45.268215	0.236445	0.136687
1182.510138	46.575595	10.500000	45.268215	0.131738	0.092631
1211.754748	47.494829	10.750000	45.268215	0.071826	0.067112
1227.886600	48.199376	11.000000	45.268215	0.038602	0.052633
1248.059802	48.742437	11.250000	45.369634	0.047439	0.037306
1258.928293	49.132035	11.500000	45.369634	0.025114	0.027717
1264.697408	49.436502	11.750000	45.369634	0.013183	0.022431
1267.722354	49.693624	12.000000	45.369634	0.006847	0.019464
1149.377107	50.318513	12.250000	44.284956	-0.290973	0.089750
1087.760676	51.809195	12.500000	44.284956	-0.167407	0.136693
1053.301971	53.795329	12.750000	44.284956	-0.099301	0.160612
1033.140407	56.095005	13.000000	44.284956	-0.060393	0.172320
1030.461175	58.578420	13.250000	44.383121	-0.008902	0.171861
1028.459314	61.123140	13.500000	44.383121	-0.006913	0.168384
1026.850882	63.719239	13.750000	44.383121	-0.005760	0.164485
1025.469157	66.358399	14.000000	44.383121	-0.005100	0.160316
1066.188500	68.873815	14.250000	44.804419	0.118727	0.132049
1090.483893	70.948981	14.500000	44.804419	0.067949	0.108239
1104.507734	72.743291	14.750000	44.804419	0.038144	0.093296
1112.377353	74.360679	15.000000	44.804419	0.020921	0.083685
1306.816662	74.896469	15.250000	46.561021	0.470428	-0.040930
1422.126806	73.183184	15.500000	46.561021	0.238417	-0.130911
1483.231000	70.373116	15.750000	46.561021	0.116800	-0.174859
1513.987004	67.176112	16.000000	46.561021	0.056980	-0.193422
1655.569526	63.269152	16.250000	47.750181	0.237805	-0.284258
1723.010189	58.530414	16.500000	47.750181	0.104593	-0.329592
1753.541047	53.772464	16.750000	47.750181	0.046361	-0.344886
1767.505227	49.307003	17.000000	47.750181	0.021583	-0.347283
1383.121096	46.732046	17.250000	44.474331	-0.669534	-0.088397
1225.838025	46.576173	17.500000	44.474331	-0.349874	0.039778
1148.602036	47.457072	17.750000	44.474331	-0.194046	0.100654
1107.182716	48.881931	18.000000	44.474331	-0.111350	0.131353
1296.353085	49.921794	18.250000	46.447895	0.461455	0.015799
1408.642092	49.478753	18.500000	46.447895	0.234556	-0.074254
1468.179415	48.246891	18.750000	46.447895	0.114853	-0.120083
1498.023018	46.675064	19.000000	46.447895	0.055573	-0.141161
1402.163727	45.396181	19.250000	45.530106	-0.183319	-0.077735
1357.262215	44.766578	19.500000	45.530106	-0.091688	-0.040010
1335.162077	44.440039	19.750000	45.530106	-0.046605	-0.021421
1324.021264	44.262474	20.000000	45.530106	-0.023876	-0.012028
1318.339017	44.160112	20.250000	53.223205	-0.012275	-0.007214
1315.425143	44.096303	20.500000	53.223205	-0.006318	-0.004723
1313.928311	44.052484	20.750000	53.223205	-0.003249	-0.003421
1313.160248	44.019163	21.000000	53.223205	-0.001665	-0.002731
1476.085016	43.444275	21.250000	53.034997	0.325680	-0.108803
1561.832047	41.871889	21.500000	53.034997	0.153036	-0.175241
1603.312470	39.901263	21.750000	53.034997	0.070397	-0.204993
1622.765748	37.841028	22.000000	53.034997	0.032543	-0.216673
1507.970119	36.201698	22.250000	54.070808	-0.197275	-0.137470
1457.309670	35.199508	22.500000	54.070808	-0.093546	-0.094281
1433.694630	34.482289	22.750000	54.070808	-0.045026	-0.073661
1422.442866	33.903280	23.000000	54.070808	-0.021724	-0.063364
