rep	outcome	time
1	-1	3941.856447
2	-1	2145.228390
3	1	387.014817
4	1	595.366639
5	-1	2556.329891
6	1	672.131614
7	-1	2421.327798
8	1	867.220303
9	-1	13663.183180
10	-1	1275.009283
11	-1	1150.023560
12	-1	6003.496004
13	-1	1184.796751
14	-1	9699.203914
15	-1	5276.961694
16	1	336.202824
17	-1	3599.439297
18	1	1469.167272
19	1	1277.173181
20	-1	7292.607506
21	-1	1446.206839
22	-1	710.922772
23	-1	3222.654009
24	-1	3752.132726
25	1	1811.051435
26	-1	4364.908960
27	-1	2954.635235
28	-1	1113.523610
29	-1	3667.543184
30	-1	1966.993340
31	1	2002.382044
32	1	579.880069
33	1	4826.917875
34	-1	3135.403174
35	-1	1543.418394
36	-1	1981.983482
37	-1	1000.277476
38	-1	1599.909083
39	1	853.087821
40	-1	1309.538169
41	-1	4314.508712
42	-1	7887.974528
43	-1	1469.004016
44	1	1296.640521
45	-1	2179.793525
46	1	358.680632
47	-1	3623.565699
48	1	590.028512
49	-1	3450.118774
50	1	741.888910
51	1	3323.350714
52	-1	3547.891384
53	-1	4785.266412
54	0	15000.006950
55	-1	6963.726165
56	-1	2289.890281
57	-1	2149.219731
58	-1	2594.335697
59	-1	5143.592852
60	-1	5697.481924
61	-1	3468.057300
62	-1	2134.366250
63	1	13811.001272
64	-1	1540.660151
65	-1	2363.496422
66	-1	9170.171563
67	1	4732.494403
68	1	1167.639446
69	1	1810.604054
70	-1	6267.772625
71	1	6640.135000
72	-1	6308.394065
73	-1	2911.742495
74	-1	4182.186791
75	-1	1654.441132
76	1	4776.358273
77	-1	3259.009934
78	1	1429.069254
79	1	1226.237399
80	1	781.320686
81	-1	948.462443
82	-1	1090.183833
83	-1	6983.932341
84	0	15000.112876
85	1	5315.529200
86	1	940.900373
87	-1	3209.874723
88	-1	938.210643
89	1	1685.698690
90	1	541.279760
91	-1	1531.049711
92	-1	1959.821889
93	1	2544.027963
94	1	374.573893
95	-1	12772.448094
96	-1	6155.528514
97	1	885.643477
98	-1	6755.930072
99	1	546.503413
100	-1	1319.248259
101	-1	4281.805227
102	1	2312.709063
103	-1	2320.896863
104	-1	3364.449567
105	-1	6687.461893
106	1	641.118644
107	-1	1948.647174
108	1	4100.558379
109	1	3388.767930
110	1	444.527988
111	-1	6221.869843
112	1	861.622119
113	1	410.624729
114	-1	5115.317445
115	1	1062.715972
116	1	1326.984347
117	-1	6913.668835
118	-1	11256.255087
119	1	1128.604414
120	-1	2931.990242
121	1	13598.001370
122	-1	4205.038871
123	1	1793.788459
124	-1	1664.046528
125	-1	4389.436637
126	1	3086.897478
127	1	493.786836
128	-1	1053.883069
129	-1	3398.539887
130	-1	2946.124818
131	1	2876.885609
132	-1	690.376001
133	-1	3343.570058
134	1	953.073739
135	1	967.095921
136	-1	11792.661834
137	-1	12135.555240
138	1	1287.589219
139	-1	4106.804982
140	-1	2360.423811
141	-1	790.379340
142	0	15000.077039
143	-1	5912.914997
144	-1	2142.520160
145	1	516.697715
146	1	474.672495
147	-1	7872.245313
148	-1	11070.101777
149	-1	1617.626249
150	-1	3820.764963
151	1	5648.677581
152	1	14780.888742
153	1	2860.534704
154	-1	10378.437908
155	-1	1810.663199
156	-1	3946.000864
157	-1	1595.928216
158	1	497.001513
159	-1	3674.005377
160	1	1943.876108
161	1	2559.549913
162	1	4567.288542
163	-1	6749.534524
164	-1	9015.283800
165	-1	7496.553889
166	-1	910.340136
167	-1	2891.662062
168	1	3538.537562
169	-1	1552.774495
170	1	1530.269551
171	0	15000.896930
172	-1	4983.466082
173	-1	3333.047745
174	-1	4377.662367
175	-1	1614.839787
176	1	2441.601430
177	-1	960.588930
178	1	2456.655607
179	1	1857.952643
180	-1	3924.099586
181	0	15000.058121
182	1	429.965226
183	1	1645.658373
184	-1	1981.920954
185	-1	6117.093692
186	-1	3323.617239
187	1	2217.144964
188	-1	3760.729531
189	1	3208.195464
190	-1	5065.768642
191	1	13006.460468
192	1	9567.363561
193	-1	791.026408
194	1	2145.571186
195	-1	744.849420
196	-1	825.240900
197	-1	3969.720267
198	1	3400.546372
199	0	15000.456680
200	1	963.070680
201	1	8525.992133
202	1	3455.277317
203	1	5624.124628
204	-1	2204.101750
205	-1	2804.414819
206	-1	1555.434677
207	1	5356.809647
208	1	748.363157
209	-1	2491.873767
210	-1	1532.310002
211	-1	4244.703596
212	-1	2628.385327
213	1	1903.139384
214	-1	2129.419887
215	1	4085.038475
216	-1	4306.138016
217	-1	1145.917332
218	1	563.547328
219	-1	4768.792644
220	1	395.486881
221	1	474.383650
222	1	7661.695021
223	-1	1579.940801
224	-1	991.609039
225	1	7447.558371
226	1	416.354051
227	-1	1085.948837
228	-1	1169.833235
229	-1	4330.752038
230	1	1900.608084
231	-1	7719.182147
232	-1	5044.528671
233	-1	3086.487456
234	-1	3040.037111
235	-1	2784.433826
236	1	1356.167693
237	-1	2480.545051
238	1	7806.283926
239	1	422.192871
240	1	474.504081
241	1	1798.693795
242	-1	720.648109
243	-1	7516.944900
244	-1	2459.672281
245	-1	3980.242385
246	1	3386.567400
247	-1	1124.431415
248	-1	4866.127082
249	1	4652.099935
250	-1	11973.515054
251	1	893.923253
252	-1	7884.659042
253	-1	5709.065151
254	1	473.254354
255	-1	959.396404
256	1	673.946967
257	1	379.104727
258	-1	2719.513405
259	1	357.961273
260	-1	798.098737
261	1	2286.708727
262	-1	883.606776
263	-1	1571.368433
264	1	6754.211269
265	-1	2211.412162
266	-1	14848.504789
267	1	560.768710
268	-1	13645.467722
269	1	1730.946836
270	-1	6524.882494
271	-1	781.977311
272	-1	1346.868623
273	-1	1826.274780
274	-1	1429.373156
275	-1	2621.199269
276	-1	6766.420176
277	1	530.275800
278	1	448.984898
279	-1	804.920952
280	-1	1911.948373
281	-1	2980.407782
282	-1	7687.044373
283	1	3374.271122
284	-1	2445.124006
285	1	456.685598
286	-1	2955.575506
287	-1	1513.251896
288	1	1151.247636
289	1	569.549538
290	1	581.167197
291	1	2524.195788
292	-1	3322.613594
293	-1	2267.389157
294	-1	4944.592390
295	1	2655.323157
296	-1	1207.069629
297	-1	3141.971628
298	1	1825.875450
299	-1	798.726015
300	-1	3554.106753
301	1	1608.905720
302	-1	2389.126780
303	1	2430.318730
304	-1	994.864910
305	-1	817.401629
306	-1	2067.662355
307	-1	3174.006964
308	-1	6718.929340
309	-1	7044.102388
310	1	1525.070657
311	1	3674.493691
312	-1	12636.238654
313	1	7239.450570
314	-1	6465.107993
315	-1	1077.694442
316	-1	3399.102787
317	-1	1083.977739
318	-1	7059.078073
319	-1	875.752104
320	1	6121.063416
321	-1	6429.418956
322	-1	4454.914193
323	-1	1514.363112
324	-1	5837.403251
325	-1	2682.021282
326	1	1306.263770
327	-1	6394.272040
328	1	531.647294
329	1	518.800133
330	1	2097.867019
331	-1	1729.884877
332	1	2470.522411
333	1	1375.288569
334	1	2302.382962
335	-1	5493.135536
336	-1	1319.269517
337	-1	4983.982930
338	-1	2322.830925
