rep	outcome	time
1	0	2000.000000
2	-1	681.000000
3	-1	1765.675000
4	0	2000.000000
5	0	2000.000000
6	0	2000.000000
7	0	2000.000000
8	0	2000.000000
9	0	2000.000000
10	0	2000.000000
11	0	2000.000000
12	0	2000.000000
13	0	2000.000000
14	-1	1926.050000
15	0	2000.000000
16	0	2000.000000
17	0	2000.000000
18	0	2000.000000
19	-1	455.525000
20	0	2000.000000
21	-1	1190.595000
22	0	2000.000000
23	0	2000.000000
24	-1	1386.235000
25	0	2000.000000
26	0	2000.000000
27	0	2000.000000
28	1	1717.015000
29	0	2000.000000
30	-1	1031.415000
31	0	2000.000000
32	-1	1253.090000
33	0	2000.000000
34	0	2000.000000
35	0	2000.000000
36	0	2000.000000
37	0	2000.000000
38	0	2000.000000
39	0	2000.000000
40	1	1857.810000
41	0	2000.000000
42	0	2000.000000
43	0	2000.000000
44	-1	1105.445000
45	0	2000.000000
46	0	2000.000000
47	0	2000.000000
48	0	2000.000000
49	0	2000.000000
50	0	2000.000000
51	0	2000.000000
52	0	2000.000000
53	1	1471.815000
54	1	1991.615000
55	0	2000.000000
56	0	2000.000000
57	0	2000.000000
58	0	2000.000000
59	0	2000.000000
60	0	2000.000000
61	0	2000.000000
62	0	2000.000000
63	-1	443.390000
64	0	2000.000000
65	0	2000.000000
66	0	2000.000000
67	0	2000.000000
68	0	2000.000000
69	-1	1581.495000
70	0	2000.000000
71	0	2000.000000
72	0	2000.000000
73	0	2000.000000
74	0	2000.000000
75	-1	1219.710000
76	0	2000.000000
77	0	2000.000000
78	-1	1537.555000
79	-1	1404.525000
80	0	2000.000000
81	-1	1126.960000
82	0	2000.000000
83	0	2000.000000
84	-1	1381.845000
85	0	2000.000000
86	0	2000.000000
87	-1	1401.495000
88	0	2000.000000
89	-1	1325.520000
90	0	2000.000000
91	0	2000.000000
92	0	2000.000000
93	-1	1643.660000
94	0	2000.000000
95	-1	1742.045000
96	0	2000.000000
97	0	2000.000000
98	0	2000.000000
99	0	2000.000000
100	0	2000.000000
101	0	2000.000000
102	0	2000.000000
103	0	2000.000000
104	0	2000.000000
105	-1	1831.810000
106	0	2000.000000
107	0	2000.000000
108	0	2000.000000
109	-1	1949.870000
110	0	2000.000000
111	0	2000.000000
112	0	2000.000000
113	0	2000.000000
114	0	2000.000000
115	0	2000.000000
116	0	2000.000000
117	0	2000.000000
118	0	2000.000000
119	0	2000.000000
120	0	2000.000000
121	0	2000.000000
122	0	2000.000000
123	0	2000.000000
124	0	2000.000000
125	0	2000.000000
126	-1	1745.125000
127	0	2000.000000
128	-1	1717.610000
129	0	2000.000000
130	0	2000.000000
131	0	2000.000000
132	0	2000.000000
133	0	2000.000000
134	-1	1205.795000
135	0	2000.000000
136	0	2000.000000
137	0	2000.000000
138	0	2000.000000
139	0	2000.000000
140	0	2000.000000
141	-1	1261.615000
142	0	2000.000000
143	1	1955.940000
144	0	2000.000000
145	-1	1876.465000
146	0	2000.000000
147	0	2000.000000
148	0	2000.000000
149	0	2000.000000
150	0	2000.000000
151	0	2000.000000
152	0	2000.000000
153	0	2000.000000
154	0	2000.000000
155	0	2000.000000
156	-1	758.890000
157	0	2000.000000
158	0	2000.000000
159	-1	808.580000
160	0	2000.000000
161	-1	1409.220000
162	-1	1528.590000
163	-1	1906.095000
164	0	2000.000000
165	-1	1461.320000
166	0	2000.000000
167	-1	1856.225000
168	0	2000.000000
169	-1	1426.520000
170	-1	1781.545000
171	0	2000.000000
172	0	2000.000000
173	0	2000.000000
174	0	2000.000000
175	-1	1491.985000
176	0	2000.000000
177	1	1042.875000
178	0	2000.000000
179	-1	1524.560000
180	0	2000.000000
181	0	2000.000000
182	-1	1163.655000
183	0	2000.000000
184	0	2000.000000
185	0	2000.000000
186	0	2000.000000
187	-1	1792.680000
188	-1	740.585000
189	-1	684.170000
190	0	2000.000000
191	0	2000.000000
192	-1	1803.770000
193	0	2000.000000
194	0	2000.000000
195	0	2000.000000
196	0	2000.000000
197	0	2000.000000
198	0	2000.000000
